Employee_ID,Age,Gender,Department,Years_at_Company,Monthly_Salary,Education_Level,Num_Trainings,Work_Life_Balance,Job_Satisfaction,Attrition,Performance_Rating
1032,30,Male,Finance,19,103925.59,5,9,2,3,No,2.15
1033,39,Male,IT,9,162548.41,3,4,1,4,No,1.55
1034,25,Male,Admin,1,92415.27,3,4,1,3,No,1.36
1035,46,Female,HR,1,96491.63,2,7,4,4,No,2.12
1036,35,Female,Finance,27,88918.97,1,10,1,4,No,2.3
1037,30,Male,Finance,23,149433.61,3,10,4,3,No,3.66
1038,47,Female,HR,16,118553.22,4,2,2,5,No,2.37
1039,23,Female,Finance,15,189880.06,1,3,2,5,No,1.3
1040,41,Male,IT,15,65160.26,4,3,4,5,No,2.81
1041,49,Male,Finance,13,38101.29,4,6,1,2,No,1.97
1042,28,Female,Sales,6,90787.07,1,3,2,4,No,1.8
1043,29,Male,Admin,20,131008.29,1,5,3,3,No,1.68
1044,56,Female,R&D,30,174943.81,4,4,4,5,No,3.29
1045,35,Female,IT,10,82315.44,2,3,2,5,No,1.86
1046,38,Female,Sales,23,137681.62,5,8,2,3,No,2.16
1047,57,Female,Admin,0,83035.76,5,10,2,4,No,1.47
1048,25,Female,HR,10,131099.52,2,3,3,3,No,2.25
1049,23,Female,IT,22,179265.43,1,6,3,2,No,2.36
1050,27,Male,R&D,20,61644.38,4,7,3,2,No,2.29
1051,25,Male,Admin,3,92763.5,5,7,1,3,No,2.14
1052,50,Female,R&D,6,198787.74,4,2,4,4,No,2.73
1053,39,Female,HR,25,176340.27,2,3,1,5,No,3.34
1054,47,Female,HR,14,121635.17,4,10,3,2,No,1
1055,55,Male,IT,17,112992.97,2,10,4,2,No,1.87
1056,31,Female,Finance,11,71228.07,1,4,1,4,No,1.15
1057,57,Male,HR,30,113097.7,2,7,1,2,No,1.92
1058,35,Female,Admin,16,172672.67,2,2,1,2,No,2
1059,52,Female,Finance,0,143331.41,5,3,3,4,No,1.6
1060,36,Male,Sales,10,72207.93,4,7,2,3,No,2.34
1061,29,Male,R&D,27,56263.51,5,7,4,5,No,4
1062,35,Female,Finance,0,67737.54,3,10,3,5,No,2.13
1063,44,Female,R&D,14,50556.66,2,3,4,2,No,2.65
1064,42,Female,Finance,27,37215.33,3,1,3,5,No,4.13
1065,37,Male,Sales,20,95444.51,5,3,1,3,No,2.33
1066,39,Male,HR,9,40393.93,4,5,1,2,No,1.36
1067,45,Male,Sales,6,50944.26,5,7,2,5,No,2.52
1068,47,Male,HR,1,118518.44,4,4,2,1,Yes,1
1069,46,Male,HR,9,49627.87,4,1,4,1,No,1.49
1070,50,Male,R&D,23,31498.36,1,6,2,1,No,1.84
1071,36,Female,Admin,3,77129.99,2,2,2,1,No,1
1072,22,Female,Sales,11,59657.44,5,3,4,1,No,1.26
1073,46,Male,Finance,18,112754.93,4,4,3,2,No,2.6
1074,28,Female,Sales,25,38426.08,5,6,2,4,No,2.94
1075,30,Female,R&D,10,155318.74,5,6,3,4,No,2.43
1076,45,Male,HR,7,183122.03,4,7,1,2,No,1.86
1077,22,Female,R&D,17,153818.33,3,5,2,2,No,1.75
1078,29,Male,IT,10,115908.87,2,7,1,3,No,1.41
1079,45,Male,IT,10,174920.21,2,2,1,4,No,2.58
1080,32,Female,Finance,12,145085.31,1,1,3,1,No,1
1081,38,Male,R&D,2,21899.2,1,10,4,2,No,1.53
1082,29,Male,Finance,11,90936.23,1,8,2,1,No,1
1083,56,Male,Finance,2,173171.34,2,1,3,4,No,2.05
1084,56,Male,IT,9,82254.59,3,2,4,5,No,3.04
1085,54,Male,Finance,26,26338.73,2,10,1,5,No,3.31
1086,26,Male,IT,16,154312.33,2,6,2,2,No,2.31
1087,49,Male,HR,21,164366.89,2,1,1,3,No,2.02
1088,28,Male,R&D,1,48906.87,2,10,1,1,Yes,1
1089,30,Female,Finance,16,116721.29,3,3,2,2,No,2.06
1090,29,Female,IT,15,54551.98,1,7,4,3,No,2.89
1091,33,Female,Sales,1,149462.2,5,8,4,1,No,1
1092,55,Male,Finance,27,68879.08,1,4,2,4,No,3.11
1093,54,Male,Admin,21,76918.72,1,3,2,5,No,2.75
1094,44,Female,HR,29,172094.75,5,1,3,3,No,2.99
1095,45,Female,HR,19,105738.02,2,9,3,1,No,1.67
1096,58,Female,Sales,5,140555.8,3,10,1,2,No,1
1097,56,Male,IT,27,92427.15,3,6,2,1,No,1.54
1098,43,Female,Finance,24,73641.23,1,6,4,2,No,2.52
1099,48,Female,IT,28,132586.05,5,9,1,5,No,3.28
1100,56,Male,HR,9,47874.36,4,1,1,5,No,1.85
1101,22,Female,IT,27,87139.97,2,6,1,1,No,2.44
1102,56,Male,HR,9,57626.67,1,5,1,1,No,2.18
1103,58,Male,IT,7,145243.09,3,6,4,2,No,1.96
1104,35,Male,Sales,0,189957.59,5,8,1,2,Yes,1
1105,24,Female,R&D,12,199191.97,5,5,2,3,No,1.44
1106,22,Female,Sales,23,101049.83,1,2,3,3,No,2.84
1107,26,Male,Sales,8,65455.47,4,2,4,3,No,2.84
1108,47,Female,R&D,21,99709.29,3,10,2,1,No,2.72
1109,35,Female,R&D,9,172508.49,1,5,2,3,No,2.45
1110,48,Female,Finance,14,57081.02,4,3,2,1,No,1.82
1111,30,Female,Finance,4,191377.22,5,10,3,5,No,2.51
1112,36,Male,Sales,21,81535.84,2,3,3,4,No,2.33
1113,36,Female,Sales,15,197444.66,3,8,3,5,No,2.8
1114,47,Male,HR,12,170949.6,3,7,2,1,No,1.19
1115,34,Male,HR,21,165542.7,4,1,3,1,No,1.9
1116,53,Female,Finance,24,77222.84,1,5,1,4,No,2.24
1117,53,Male,Admin,19,21579.9,5,9,3,2,No,2.53
1118,25,Female,Admin,17,88783.92,4,4,4,2,No,2.11
1119,51,Female,Finance,10,74325.69,2,1,2,2,No,1.32
1120,58,Male,HR,26,26731.46,2,8,2,3,No,2.24
1121,44,Male,HR,8,110965.75,2,5,1,2,No,1.32
1122,36,Male,Admin,15,92545.64,4,2,3,3,No,3
1123,50,Male,IT,1,134220.16,5,1,3,3,No,1.54
1124,57,Female,IT,25,131813.54,3,3,4,2,No,2.79
1125,34,Female,HR,24,41734.39,1,9,1,2,No,2.97
1126,53,Female,IT,1,195853.8,3,1,4,4,No,2.65
1127,28,Male,R&D,11,53647.66,5,4,4,4,No,2.84
1128,43,Male,Finance,7,100149.32,3,8,2,3,No,1.92
1129,49,Male,Finance,8,107861.16,4,8,2,4,No,1.7
1130,23,Female,HR,11,166351.3,2,10,3,3,No,1.7
1131,27,Male,Sales,25,37861.33,5,8,3,1,No,2.22
1132,49,Female,Admin,8,97155.97,5,10,4,3,No,2.18
1133,49,Male,HR,9,133130.39,3,8,3,3,No,1.53
1134,41,Female,IT,24,58728.01,4,4,4,4,No,3.55
1135,51,Female,Admin,1,132944.22,3,8,3,1,No,1
1136,32,Male,Sales,15,186259.67,3,9,3,5,No,3.41
1137,49,Male,IT,19,199553.26,5,7,2,5,No,2.82
1138,46,Female,R&D,6,25841.19,3,2,2,5,No,2.13
1139,54,Female,IT,27,62405.88,2,9,2,1,No,1.58
1140,22,Male,R&D,1,75855.28,3,8,2,2,Yes,1
1141,48,Male,Admin,0,91842.7,2,5,1,1,Yes,1.16
1142,34,Female,R&D,18,63606.29,5,3,2,4,No,2.63
1143,24,Male,Admin,27,56627.84,4,7,1,3,No,2.64
1144,27,Female,Admin,3,191819.69,2,2,2,3,No,2.25
1145,29,Female,Admin,23,185333.89,4,3,3,4,No,2.29
1146,48,Male,Admin,21,28458.65,4,9,4,4,No,3.39
1147,30,Male,Admin,26,80986.34,2,4,3,3,No,2.01
1148,58,Male,IT,1,92926.74,5,4,3,2,No,1.03
1149,54,Male,Admin,30,63022.62,1,3,1,2,No,1.73
1150,45,Male,IT,24,133197.12,4,5,2,2,No,2.63
1151,36,Female,Admin,13,135268.53,4,3,4,4,No,1.71
1152,53,Female,R&D,1,173090.76,5,9,4,3,No,1.63
1153,53,Male,Admin,28,153356.47,5,3,2,3,No,2.12
1154,45,Male,Sales,14,117663.2,3,2,1,3,No,1.37
1155,33,Male,Admin,11,137645.62,5,5,1,1,No,1
1156,23,Female,Admin,4,69317.98,4,6,1,1,No,1.36
1157,24,Male,R&D,27,126750.11,2,1,4,5,No,3.48
1158,58,Male,Finance,19,108060.91,1,6,1,1,No,2.31
1159,38,Female,R&D,28,44002,3,10,1,2,No,3.17
1160,23,Female,Sales,6,63657.97,2,3,4,2,No,2.76
1161,23,Male,Finance,23,72504.82,1,4,4,2,No,2.52
1162,49,Male,HR,20,186375.72,1,6,3,2,No,2.31
1163,44,Male,HR,9,61469.6,1,8,4,5,No,2.94
1164,58,Female,Sales,13,72063.9,2,9,2,2,No,1.47
1165,53,Male,R&D,13,86483.74,3,6,4,4,No,2.86
1166,54,Male,IT,4,139473.69,3,7,4,4,No,1.73
1167,22,Male,Sales,17,41282.91,1,5,1,4,No,1.31
1168,40,Female,Finance,23,191710.14,2,9,3,1,No,2.41
1169,23,Female,Finance,13,175802.82,1,4,1,3,No,1.58
1170,47,Male,Admin,1,123898.89,5,10,3,5,No,1.66
1171,53,Male,HR,25,141326.82,3,6,1,4,No,2.22
1172,27,Female,Finance,11,22998.88,4,5,2,4,No,2.91
1173,53,Female,Sales,21,81010.06,1,1,1,2,No,2.08
1174,25,Female,Finance,23,163218.84,5,5,1,4,No,1.79
1175,32,Female,Sales,5,33946.94,3,5,2,2,No,1
1176,38,Female,IT,3,70816.49,2,9,2,2,No,1
1177,59,Female,Admin,12,125353.43,3,1,4,3,No,2.54
1178,45,Female,HR,3,66154.34,2,5,1,1,No,1
1179,26,Female,Finance,21,188116.04,2,7,2,2,No,1.96
1180,55,Female,Sales,13,43590.55,1,6,2,2,No,1.71
1181,27,Male,R&D,30,163530.98,1,6,4,3,No,3.27
1182,43,Male,HR,15,111430.76,3,7,3,2,No,1
1183,32,Male,IT,28,155059.54,5,6,2,5,No,3.41
1184,37,Female,Sales,3,75928.76,3,5,2,1,No,1
1185,54,Male,Admin,23,112608.13,4,10,1,5,No,2.71
1186,30,Female,Admin,24,174230.36,2,5,4,4,No,2.95
1187,27,Female,IT,0,104038.06,2,9,1,1,Yes,1
1188,37,Male,IT,12,84749.58,1,8,3,4,No,2.82
1189,50,Female,Admin,3,116507.97,5,10,4,2,No,1
1190,24,Male,Finance,19,149125.3,1,4,1,3,No,1.79
1191,41,Male,Finance,17,99841.4,4,4,2,5,No,3.19
1192,57,Male,Sales,5,188997.86,3,10,2,4,No,1.57
1193,40,Female,R&D,2,73090.25,3,5,4,2,No,1.12
1194,47,Male,Sales,22,105583.45,5,3,2,5,No,2.87
1195,24,Female,R&D,12,156246.98,1,8,1,5,No,2.57
1196,40,Male,IT,26,144041.8,1,7,4,4,No,4.02
1197,41,Male,HR,15,175455.39,4,5,2,2,No,1.28
1198,53,Male,Sales,26,199425.65,3,10,2,3,No,2.17
1199,28,Female,Sales,4,96834.5,1,3,3,4,No,1.86
1200,54,Female,R&D,3,40007.16,5,5,3,5,No,2.37
1201,39,Female,IT,20,25474.86,3,3,4,5,No,2.91
1202,22,Male,IT,7,150837.84,4,10,3,1,No,1.59
1203,32,Male,R&D,18,177322.46,5,5,1,2,No,1.24
1204,49,Female,IT,13,59728.27,2,1,2,1,No,1
1205,46,Female,Admin,6,48520.65,4,6,2,3,No,1.87
1206,44,Female,Finance,30,31196.92,5,10,2,4,No,3.42
1207,52,Female,Admin,13,168086.53,1,4,4,5,No,3.47
1208,51,Female,HR,5,76048.75,2,4,4,2,No,1
1209,56,Female,Sales,11,92305.44,4,8,3,5,No,2.32
1210,28,Male,HR,15,110495.03,1,2,2,1,No,1.32
1211,37,Female,Sales,16,171101.58,2,4,2,1,No,2.38
1212,47,Male,Finance,12,137149.98,3,2,2,4,No,2.12
1213,23,Male,IT,22,130711.63,1,1,2,2,No,1.43
1214,22,Female,Admin,13,51620.98,5,10,2,2,No,1.8
1215,33,Female,R&D,28,112374.18,4,3,1,4,No,3.45
1216,26,Male,Admin,6,148768.58,2,8,2,1,No,1.55
1217,58,Female,Finance,13,195186.96,1,6,1,1,No,1.43
1218,53,Female,HR,14,56253.14,3,7,2,1,No,1.53
1219,30,Male,R&D,11,21717.8,4,2,4,5,No,1.72
1220,56,Male,IT,16,33554.26,4,6,4,3,No,2.51
1221,40,Male,Finance,8,87653.44,1,8,1,1,No,1
1222,37,Female,R&D,21,167698.04,3,8,2,3,No,2.27
1223,24,Male,Finance,14,21285.57,2,4,4,3,No,2.75
1224,41,Female,Finance,11,102211.51,1,6,4,2,No,1.86
1225,45,Male,IT,1,79261.51,2,5,2,4,No,1.47
1226,54,Male,Sales,4,29446.71,4,9,2,5,No,2.62
1227,45,Male,R&D,12,101042.53,2,8,4,3,No,2.09
1228,32,Female,IT,26,65854.77,3,2,2,5,No,3.23
1229,29,Female,Finance,19,83339.27,5,7,3,2,No,2.6
1230,57,Male,IT,22,147010.75,3,7,2,1,No,1.29
1231,59,Male,Sales,7,113879.18,2,1,4,3,No,1.49
1232,41,Male,Admin,26,42436.54,1,1,4,4,No,3.98
1233,56,Female,R&D,13,193054.62,4,4,1,2,No,1.15
1234,46,Male,Sales,14,134463.94,5,5,3,5,No,3.15
1235,56,Female,HR,10,157856.32,1,4,4,1,No,1
1236,46,Male,R&D,0,34258.37,1,7,3,5,No,1
1237,50,Male,Sales,20,28470.51,3,3,2,4,No,2.78
1238,39,Male,Finance,30,23500.65,2,7,4,3,No,3.14
1239,39,Male,R&D,2,53982.92,3,8,1,4,No,1.69
1240,23,Male,R&D,16,94593.51,2,6,4,5,No,4.04
1241,56,Male,IT,27,188448.7,3,6,1,5,No,2.43
1242,37,Female,Finance,18,102270.74,1,8,3,4,No,2.72
1243,57,Male,HR,13,72245.92,4,8,1,4,No,2.79
1244,54,Female,Admin,21,121148.35,2,7,2,4,No,2.1
1245,25,Male,Sales,29,40148.22,5,6,2,1,No,1.86
1246,54,Male,IT,22,129711.06,5,6,2,5,No,2.12
1247,35,Female,Sales,7,122317.75,1,10,4,2,No,2.87
1248,42,Male,HR,12,162558.75,3,6,2,1,No,1
1249,41,Female,HR,26,197603.77,3,8,2,1,No,2.4
1250,29,Female,R&D,19,65157.22,1,1,4,1,No,1.39
1251,28,Male,HR,2,111738.16,5,5,3,2,No,1
1252,24,Female,Sales,4,183595.77,5,3,2,4,No,2.33
1253,38,Female,Finance,8,161334.18,3,8,2,5,No,1.93
1254,54,Male,Finance,28,107733.13,2,6,4,3,No,3.43
1255,33,Female,R&D,5,190166.9,4,2,3,3,No,2.44
1256,43,Male,Admin,30,30302.6,2,7,3,5,No,3.7
1257,43,Male,Sales,24,187579.75,5,7,3,2,No,2.84
1258,51,Male,Sales,30,29091.33,2,5,4,3,No,3.24
1259,59,Male,HR,21,118514.85,4,8,1,1,No,1.61
1260,59,Female,Sales,1,180279.37,2,5,1,3,No,1
1261,29,Male,IT,12,67289.77,2,1,2,5,No,3.46
1262,48,Male,Admin,4,105004.73,2,9,2,1,No,1.27
1263,48,Female,HR,27,78379.2,2,4,2,3,No,2.91
1264,55,Male,IT,26,191385.91,1,2,1,5,No,3.39
1265,42,Male,R&D,24,168256.21,5,4,4,2,No,2.26
1266,51,Female,Finance,7,147620.27,4,9,2,5,No,2.72
1267,54,Female,R&D,22,125772.86,5,2,4,2,No,3.28
1268,49,Female,Finance,0,167706.52,1,4,2,1,Yes,1
1269,54,Female,R&D,19,90608.07,1,2,4,5,No,3.52
1270,26,Female,Sales,11,100559.33,1,5,4,4,No,2.58
1271,40,Female,IT,22,151400.31,1,3,1,4,No,2.24
1272,25,Female,Finance,10,84395.86,2,10,4,4,No,1.95
1273,56,Male,HR,6,31502.17,5,2,3,4,No,2.63
1274,38,Female,IT,14,33380.23,3,9,1,4,No,2.2
1275,49,Female,HR,21,40765.3,4,5,2,2,No,1.95
1276,51,Female,IT,23,176542.64,1,10,1,5,No,3.12
1277,50,Male,IT,10,105000.76,5,5,3,1,No,1.34
1278,27,Male,R&D,28,148318.83,1,1,3,4,No,2.85
1279,56,Female,Finance,21,90723.68,1,6,4,4,No,3.11
1280,58,Female,Finance,25,66567.97,1,7,3,1,No,2.14
1281,45,Female,IT,15,82494.59,1,1,3,1,No,1
1282,50,Male,Sales,2,162952.82,1,9,3,4,No,1.59
1283,52,Male,Sales,19,132538.9,4,8,3,2,No,1.52
1284,56,Female,HR,13,188775.16,5,8,2,1,No,1
1285,54,Male,HR,2,142346.86,1,7,2,5,No,2.23
1286,42,Female,R&D,0,122632.69,1,5,1,5,No,1.37
1287,53,Male,IT,30,129835.28,1,3,4,2,No,3.42
1288,44,Male,HR,25,189626.86,1,9,2,3,No,1.64
1289,54,Female,HR,20,161876.17,2,7,3,2,No,2.05
1290,24,Female,Admin,14,24327.42,2,10,4,4,No,2.39
1291,39,Female,IT,0,116145.15,3,10,2,3,No,1
1292,46,Female,R&D,16,143900.91,1,8,1,4,No,2.2
1293,52,Male,HR,1,154765.73,3,6,3,5,No,1.4
1294,24,Male,R&D,28,58365.58,4,5,4,1,No,2.61
1295,45,Male,Finance,19,176091.92,3,8,2,4,No,2.91
1296,53,Female,R&D,5,192051.77,5,3,4,5,No,2.68
1297,43,Male,Sales,7,62608.76,2,7,2,2,No,1.55
1298,44,Female,Sales,28,178870.78,2,2,1,4,No,3.32
1299,23,Male,R&D,15,37456.18,1,3,3,5,No,2.84
1300,48,Female,Sales,18,30027.23,1,2,1,1,No,1
1301,23,Female,Finance,0,43260.28,4,5,3,4,No,1.5
1302,47,Male,IT,2,30393.39,4,7,3,5,No,1.91
1303,38,Female,Sales,27,172102.2,5,10,4,4,No,2.83
1304,54,Female,Sales,2,30629.03,1,10,2,1,No,1.19
1305,30,Male,R&D,4,68899.55,1,1,1,4,No,1.86
1306,50,Female,Finance,26,38676.14,4,10,1,4,No,1.87
1307,47,Female,IT,11,73175.97,4,9,1,5,No,1.84
1308,56,Female,R&D,11,36300.7,4,1,4,3,No,1.7
1309,46,Male,R&D,19,140240.59,2,1,4,4,No,3.11
1310,45,Male,Admin,12,43998.83,3,10,4,3,No,2.84
1311,34,Female,Finance,19,173332.27,3,8,3,2,No,2.37
1312,28,Male,IT,8,167094.39,1,6,1,4,No,1.45
1313,57,Female,Finance,6,22459.1,2,6,3,3,No,1.64
1314,41,Female,IT,3,181230.74,4,9,1,2,No,1
1315,22,Female,Finance,18,25209.98,1,4,1,5,No,1.94
1316,29,Female,R&D,21,63136.24,2,8,2,4,No,3.07
1317,37,Female,R&D,18,25830.04,5,4,1,5,No,3.32
1318,35,Male,HR,5,80451.83,2,2,4,2,No,1.29
1319,33,Female,Sales,26,112495.97,1,8,4,5,No,3.62
1320,44,Male,Admin,12,163396.08,3,7,4,5,No,3.26
1321,36,Male,Finance,10,80836.68,4,4,2,1,No,1
1322,49,Female,Admin,12,146988.2,5,9,2,2,No,1.08
1323,55,Female,HR,12,53750.8,2,9,3,5,No,3.7
1324,23,Male,Sales,27,155107.72,1,8,1,3,No,1.97
1325,53,Male,Finance,24,62479.39,1,1,1,2,No,1.82
1326,44,Male,IT,21,45838.06,4,7,4,1,No,1.85
1327,43,Female,Sales,27,53373.59,1,5,4,4,No,2.35
1328,46,Male,R&D,19,52771.36,1,7,4,5,No,3.29
1329,43,Female,HR,14,112315.32,4,9,4,3,No,2.39
1330,43,Female,Sales,20,172063.56,5,2,4,1,No,2.19
1331,27,Female,Sales,12,34328.91,3,4,4,2,No,1.96
1332,36,Male,R&D,21,147252.14,3,4,1,5,No,2.52
1333,58,Female,Finance,10,137782.36,2,2,2,1,No,1
1334,54,Female,IT,18,177053.59,5,3,4,1,No,1.75
1335,29,Female,R&D,7,63946.56,2,8,1,3,No,1
1336,26,Female,IT,19,101019.77,3,9,4,4,No,2.53
1337,25,Female,Finance,7,186648.93,4,6,3,4,No,1.66
1338,27,Male,Sales,9,138798.82,1,10,3,4,No,2.54
1339,53,Female,IT,25,89978.31,3,2,1,2,No,2.2
1340,51,Female,HR,15,43654.23,5,2,2,1,No,1.46
1341,56,Male,HR,18,67247.3,3,7,3,2,No,3.07
1342,37,Female,R&D,25,124618.79,5,8,3,1,No,1.69
1343,34,Male,Finance,22,149270.23,5,8,2,3,No,2.96
1344,51,Female,R&D,10,42395.94,5,6,3,3,No,1.87
1345,40,Male,R&D,12,127927.51,2,10,4,2,No,2.08
1346,38,Male,Admin,27,119063.23,4,8,2,2,No,2.69
1347,40,Female,R&D,8,112511.98,3,1,3,3,No,1.66
1348,49,Female,Admin,19,144222.16,4,9,2,5,No,2.32
1349,47,Female,HR,23,170740.93,1,1,4,4,No,2.7
1350,58,Male,HR,18,78138.14,3,3,3,4,No,1.65
1351,47,Male,R&D,15,180022.19,4,9,1,3,No,2.15
1352,44,Male,HR,6,48914.05,4,5,3,4,No,2.39
1353,30,Female,Finance,18,51144.3,1,9,3,5,No,3.79
1354,33,Male,Admin,11,68018.97,5,9,4,5,No,3.06
1355,22,Male,Admin,14,41515.56,3,6,1,1,No,1.53
1356,22,Female,R&D,30,61457.46,3,1,1,2,No,2.26
1357,55,Male,HR,22,39154.12,1,10,1,4,No,2.73
1358,53,Male,IT,13,167915.44,5,7,4,5,No,3.49
1359,46,Female,Admin,10,45014.42,3,6,4,2,No,1.99
1360,22,Male,R&D,25,154513.56,3,9,4,2,No,2.39
1361,37,Female,R&D,9,28624.5,3,7,4,1,No,1.44
1362,26,Female,Finance,26,190733.66,5,4,4,2,No,3.08
1363,43,Female,Sales,10,148008.82,1,7,1,2,No,1.05
1364,50,Female,Sales,5,21223.38,3,2,2,3,No,1.99
1365,24,Female,Admin,1,157494.17,4,6,4,1,No,2.1
1366,33,Male,Finance,10,112534.75,5,6,2,1,No,1.65
1367,47,Male,Finance,18,160285.73,2,2,3,4,No,3.07
1368,37,Female,Finance,5,114049.43,1,4,3,2,No,1.62
1369,58,Female,Admin,13,135384.47,4,8,4,4,No,2.26
1370,43,Male,Sales,19,161539.7,3,8,3,5,No,2.62
1371,50,Female,Finance,5,92919.45,2,8,2,2,No,1
1372,35,Female,HR,16,20487.47,1,8,3,5,No,3.18
1373,49,Female,R&D,9,172990.37,5,1,3,3,No,1.76
1374,26,Male,R&D,27,88560.27,2,2,2,2,No,2.34
1375,51,Male,IT,0,109287.69,2,4,3,4,No,2.01
1376,26,Female,IT,2,21398,4,9,4,4,No,1.68
1377,33,Female,Admin,7,108576.56,1,3,2,2,No,1.1
1378,37,Male,Admin,7,197567.73,4,6,2,4,No,2.11
1379,47,Male,R&D,26,70088.18,4,7,1,2,No,1.95
1380,47,Female,HR,19,91175.29,3,8,1,1,No,1.35
1381,42,Female,Sales,21,143694.2,5,7,2,4,No,2.13
1382,57,Male,Sales,14,166662.86,2,3,2,2,No,1.61
1383,54,Male,Admin,23,95130.49,1,6,1,2,No,2.78
1384,51,Male,HR,6,75740.4,5,5,4,4,No,2.08
1385,58,Female,Admin,10,188808.64,5,10,3,1,No,1
1386,44,Male,Sales,6,141886.09,1,4,3,4,No,2.58
1387,31,Female,Admin,28,41423.83,5,1,3,2,No,2.86
1388,26,Male,Finance,3,32407.02,3,7,2,1,No,1
1389,57,Male,Admin,24,107038.97,5,8,4,5,No,2.84
1390,55,Male,R&D,11,59616.21,3,2,1,3,No,1.06
1391,52,Male,Admin,25,65717.26,2,7,4,4,No,2.48
1392,31,Female,R&D,5,177984.59,2,6,4,2,No,1.87
1393,40,Female,HR,13,36121.88,4,5,3,1,No,2.06
1394,53,Male,Sales,11,148765.54,3,4,1,1,No,1.28
1395,22,Female,IT,10,68805.61,2,2,4,5,No,3.77
1396,26,Male,IT,18,156859.08,5,10,1,4,No,2.08
1397,25,Male,Sales,20,150034.05,1,6,2,1,No,1.54
1398,37,Male,IT,4,21330.54,1,5,3,5,No,2.35
1399,45,Male,Admin,13,111644.37,3,2,1,2,No,1.34
1400,37,Female,HR,20,45077.51,4,10,2,5,No,3.15
1401,23,Male,HR,23,175920.87,5,7,2,4,No,2.43
1402,49,Male,Sales,15,176885.46,3,6,2,5,No,1.95
1403,53,Female,IT,24,95302.25,1,9,4,1,No,1.41
1404,48,Male,Admin,12,99991.21,3,10,4,1,No,1.94
1405,41,Male,HR,24,74590.93,5,5,3,3,No,2.44
1406,45,Male,HR,28,148989.13,2,9,3,5,No,2.92
1407,33,Female,Finance,21,84559.05,5,9,2,2,No,1.74
1408,56,Male,Finance,21,68202.65,2,1,3,4,No,3.83
1409,54,Female,HR,24,97801.59,2,5,4,3,No,2.34
1410,54,Male,Sales,19,36467.75,2,9,3,5,No,3.41
1411,58,Male,R&D,21,154388.58,3,7,1,2,No,2.06
1412,33,Female,R&D,3,22267.35,1,6,4,3,No,2.52
1413,24,Male,Admin,10,136007.31,3,6,2,1,No,1.14
1414,22,Male,HR,16,52915.61,1,7,2,4,No,1.62
1415,54,Female,HR,6,61832.73,5,1,3,5,No,2.9
1416,31,Female,HR,13,134413.76,4,4,4,2,No,1.93
1417,50,Female,Sales,25,198729.82,5,1,2,1,No,2.59
1418,34,Female,Finance,10,159989.15,3,6,2,3,No,2.21
1419,33,Female,HR,27,60651.13,3,4,4,4,No,3.85
1420,52,Male,HR,21,51684.46,1,1,4,3,No,3.93
1421,23,Female,IT,8,175921.92,3,9,2,3,No,1.84
1422,56,Male,Sales,22,99953.11,2,4,3,2,No,3.02
1423,44,Male,Admin,12,44669.5,3,6,3,1,No,1.3
1424,38,Male,HR,22,175198.06,1,7,3,5,No,3.47
1425,47,Female,IT,17,166896.62,1,8,1,2,No,1.4
